N,Year,Grand Prix,Grid,N°,Chassis,Engine,Tyre,Lap,Retirement
37,2024,Azerbaijan,3,55,Ferrari SF-24,Ferrari V6 t h,Pirelli,49,Collision
36,2024,Canada,12,55,Ferrari SF-24,Ferrari V6 t h,Pirelli,52,Collision
35,2023,Abu Dhabi,16,55,Ferrari SF-23,Ferrari V6 t h,Pirelli,57,Engine
34,2023,Belgium,4,55,Ferrari SF-23,Ferrari V6 t h,Pirelli,23,Collision damage
33,2022,USA,1,55,Ferrari F1-75,Ferrari V6 t h,Pirelli,1,Collision
32,2022,Japan,3,55,Ferrari F1-75,Ferrari V6 t h,Pirelli,0,Accident
31,2022,Austria,3,55,Ferrari F1-75,Ferrari V6 t h,Pirelli,56,Engine
30,2022,Azerbaijan,4,55,Ferrari F1-75,Ferrari V6 t h,Pirelli,8,Hydraulics
29,2022,Emilia-Romagna,4,55,Ferrari F1-75,Ferrari V6 t h,Pirelli,0,Collision
28,2022,Australia,9,55,Ferrari F1-75,Ferrari V6 t h,Pirelli,1,Runway exit
27,2020,Russia,6,55,McLaren MCL35,Renault V6 t h,Pirelli,0,Accident
26,2020,Tuscany,9,55,McLaren MCL35,Renault V6 t h,Pirelli,5,Pile-up
25,2019,Italy,7,55,McLaren MCL34,Renault V6 t h,Pirelli,27,Wheel
24,2019,Belgium,15,55,McLaren MCL34,Renault V6 t h,Pirelli,1,Engine
23,2019,Bahrain,7,55,McLaren MCL34,Renault V6 t h,Pirelli,53,Gearbox
22,2019,Australia,18,55,McLaren MCL34,Renault V6 t h,Pirelli,9,Engine
21,2018,Mexico,8,55,Renault R.S.18,Renault V6 t h,Pirelli,28,Battery
20,2018,Britain,16,55,Renault R.S.18,Renault V6 t h,Pirelli,37,Collision
19,2017,Abu Dhabi,12,55,Renault R.S.17,Renault V6 t h,Pirelli,31,Wheel
18,2017,Mexico,8,55,Renault R.S.17,Renault V6 t h,Pirelli,59,Steering
17,2017,Japan,19,55,Toro Rosso STR12,Renault V6 t h,Pirelli,0,Accident
16,2017,Malaysia,14,55,Toro Rosso STR12,Renault V6 t h,Pirelli,29,Electrics
15,2017,Britain,13,55,Toro Rosso STR12,Renault V6 t h,Pirelli,0,Collision
14,2017,Austria,10,55,Toro Rosso STR12,Renault V6 t h,Pirelli,44,Engine
13,2017,Canada,13,55,Toro Rosso STR12,Renault V6 t h,Pirelli,0,Collision
12,2017,Bahrain,16,55,Toro Rosso STR12,Renault V6 t h,Pirelli,12,Collision
11,2016,Abu Dhabi,21,55,Toro Rosso STR11,Ferrari V6 t h,Pirelli,41,Collision
10,2016,Belgium,14,55,Toro Rosso STR11,Ferrari V6 t h,Pirelli,1,Puncture
9,2016,Europe,18,55,Toro Rosso STR11,Ferrari V6 t h,Pirelli,31,Suspension
8,2016,Bahrain,11,55,Toro Rosso STR11,Ferrari V6 t h,Pirelli,29,Steering
7,2015,Brazil,10,55,Toro Rosso STR10,Renault V6 t h,Pirelli,0,Power loss
6,2015,Russia,20,55,Toro Rosso STR10,Renault V6 t h,Pirelli,45,Brakes
5,2015,Belgium,10,55,Toro Rosso STR10,Renault V6 t h,Pirelli,32,Withdrew
4,2015,Hungary,12,55,Toro Rosso STR10,Renault V6 t h,Pirelli,60,Power loss
3,2015,Britain,8,55,Toro Rosso STR10,Renault V6 t h,Pirelli,31,Electrics
2,2015,Austria,12,55,Toro Rosso STR10,Renault V6 t h,Pirelli,35,Power loss
1,2015,Bahrain,9,55,Toro Rosso STR10,Renault V6 t h,Pirelli,29,Wheel
,,,,, , ,,,
