N,Year,Grand Prix,Grid,N°,Chassis,Engine,Tyre,Lap,Retirement
39,2024,China,12,3,RB VCARB 01,Honda RBPT V6 t h,Pirelli,33,Collision
38,2024,Japan,11,3,RB VCARB 01,Honda RBPT V6 t h,Pirelli,0,Collision
37,2022,São Paulo,11,3,McLaren MCL36,Mercedes V6 t h,Pirelli,0,Collision
36,2022,Italy,4,3,McLaren MCL36,Mercedes V6 t h,Pirelli,45,Oil leak
35,2022,Saudi Arabia,14,3,McLaren MCL36,Mercedes V6 t h,Pirelli,35,Clutch
34,2021,São Paulo,11,3,McLaren MCL35M,Mercedes V6 t h,Pirelli,49,Engine
33,2020,Austria,10,3,Renault R.S.20,Renault V6 t h,Pirelli,17,Overheating
32,2019,Russia,10,3,Renault R.S.19,Renault V6 t h,Pirelli,24,Handling
31,2019,Germany,13,3,Renault R.S.19,Renault V6 t h,Pirelli,13,Exhaust
30,2019,Azerbaijan,10,3,Renault R.S.19,Renault V6 t h,Pirelli,31,Collision
29,2019,Bahrain,10,3,Renault R.S.19,Renault V6 t h,Pirelli,53,Power loss
28,2019,Australia,12,3,Renault R.S.19,Renault V6 t h,Pirelli,28,Collision damage
27,2018,Mexico,1,3,Red Bull RB14,TAG Heuer V6 t h,Pirelli,61,Clutch
26,2018,USA,4,3,Red Bull RB14,TAG Heuer V6 t h,Pirelli,8,Battery
25,2018,Italy,19,3,Red Bull RB14,TAG Heuer V6 t h,Pirelli,23,Clutch
24,2018,Belgium,8,3,Red Bull RB14,TAG Heuer V6 t h,Pirelli,28,Withdrew
23,2018,Germany,19,3,Red Bull RB14,TAG Heuer V6 t h,Pirelli,27,Power loss
22,2018,Austria,7,3,Red Bull RB14,TAG Heuer V6 t h,Pirelli,53,Exhaust
21,2018,Azerbaijan,4,3,Red Bull RB14,TAG Heuer V6 t h,Pirelli,39,Collision
20,2018,Bahrain,4,3,Red Bull RB14,TAG Heuer V6 t h,Pirelli,1,Electrics
19,2017,Abu Dhabi,4,3,Red Bull RB13,TAG Heuer V6 t h,Pirelli,20,Hydraulics
18,2017,Mexico,16,3,Red Bull RB13,TAG Heuer V6 t h,Pirelli,5,Turbo
17,2017,USA,4,3,Red Bull RB13,TAG Heuer V6 t h,Pirelli,14,Engine
16,2017,Hungary,6,3,Red Bull RB13,TAG Heuer V6 t h,Pirelli,0,Collision
15,2017,Russia,5,3,Red Bull RB13,TAG Heuer V6 t h,Pirelli,5,Brakes
14,2017,Australia,15,3,Red Bull RB13,TAG Heuer V6 t h,Pirelli,25,Engine
13,2015,Russia,10,3,Red Bull RB11,Renault V6 t h,Pirelli,47,Suspension
12,2015,Belgium,5,3,Red Bull RB11,Renault V6 t h,Pirelli,19,Power loss
11,2015,Britain,10,3,Red Bull RB11,Renault V6 t h,Pirelli,21,ERS
10,2014,Brazil,9,3,Red Bull RB10,Renault V6 t h,Pirelli,39,Suspension
9,2014,Malaysia,5,3,Red Bull RB10,Renault V6 t h,Pirelli,49,Withdrew
8,2013,South Korea,12,19,Toro Rosso STR8,Ferrari V8,Pirelli,52,Brakes
7,2013,Singapore,9,19,Toro Rosso STR8,Ferrari V8,Pirelli,23,Accident
6,2013,Monaco,12,19,Toro Rosso STR8,Ferrari V8,Pirelli,61,Collision
5,2013,Malaysia,13,19,Toro Rosso STR8,Ferrari V8,Pirelli,51,Exhaust
4,2013,Australia,14,19,Toro Rosso STR8,Ferrari V8,Pirelli,39,Exhaust
3,2012,Monaco,15,16,Toro Rosso STR7,Ferrari V8,Pirelli,65,Steering
2,2011,Abu Dhabi,20,22,HRT F111,Cosworth V8,Pirelli,48,Electrics
1,2011,Belgium,23,22,HRT F111,Cosworth V8,Pirelli,13,Vibration
