N,Year,Grand Prix,Grid,N°,Chassis,Engine,Tyre,Lap,Retirement
76,2023,Mexico City,13,14,Aston Martin AMR23,Mercedes V6 t h,Pirelli,47,Collision damage
75,2023,USA,19,14,Aston Martin AMR23,Mercedes V6 t h,Pirelli,49,Undertray
74,2022,Abu Dhabi,10,14,Alpine A522,Renault V6 t h,Pirelli,27,Water leak
73,2022,Mexico City,9,14,Alpine A522,Renault V6 t h,Pirelli,63,Engine
72,2022,Singapore,5,14,Alpine A522,Renault V6 t h,Pirelli,20,Engine
71,2022,Italy,6,14,Alpine A522,Renault V6 t h,Pirelli,31,Water pressure
70,2022,Emilia-Romagna,9,14,Alpine A522,Renault V6 t h,Pirelli,6,Fairing
69,2022,Saudi Arabia,7,14,Alpine A522,Renault V6 t h,Pirelli,35,Engine
68,2021,USA,19,14,Alpine A521,Renault V6 t h,Pirelli,49,Wing
67,2021,Bahrain,9,14,Alpine A521,Renault V6 t h,Pirelli,32,Brakes
66,2018,Mexico,12,14,McLaren MCL33,Renault V6 t h,Pirelli,3,Overheating
65,2018,USA,13,14,McLaren MCL33,Renault V6 t h,Pirelli,1,Collision
64,2018,Italy,13,14,McLaren MCL33,Renault V6 t h,Pirelli,9,Electrics
63,2018,Belgium,14,14,McLaren MCL33,Renault V6 t h,Pirelli,0,Pile-up
62,2018,Germany,11,14,McLaren MCL33,Renault V6 t h,Pirelli,65,Gearbox
61,2018,France,16,14,McLaren MCL33,Renault V6 t h,Pirelli,50,Suspension
60,2018,Canada,14,14,McLaren MCL33,Renault V6 t h,Pirelli,40,Exhaust
59,2018,Monaco,7,14,McLaren MCL33,Renault V6 t h,Pirelli,52,Gearbox
58,2017,USA,8,14,McLaren MCL32,Honda V6 t h,Pirelli,24,Engine
57,2017,Singapore,8,14,McLaren MCL32,Honda V6 t h,Pirelli,8,Collision damage
56,2017,Italy,19,14,McLaren MCL32,Honda V6 t h,Pirelli,50,Gearbox
55,2017,Belgium,10,14,McLaren MCL32,Honda V6 t h,Pirelli,25,Power loss
