N,Year,Grand Prix,Grid,N°,Chassis,Engine,Tyre,Lap,Retirement
32,2024,USA,17,44,Mercedes F1 W15,Mercedes V6 t h,Pirelli,1,Runway exit
31,2024,Australia,11,44,Mercedes F1 W15,Mercedes V6 t h,Pirelli,15,Engine
30,2023,Qatar,3,44,Mercedes F1 W14,Mercedes V6 t h,Pirelli,0,Collision
29,2022,Abu Dhabi,5,44,Mercedes F1 W13,Mercedes V6 t h,Pirelli,55,Hydraulics
28,2022,Belgium,4,44,Mercedes F1 W13,Mercedes V6 t h,Pirelli,0,Collision
27,2021,Italy,4,44,Mercedes F1 W12,Mercedes V6 t h,Pirelli,25,Collision
26,2018,Austria,2,44,Mercedes F1 W09,Mercedes V6 t h,Pirelli,62,Fuel pressure
25,2016,Malaysia,1,44,Mercedes F1 W07,Mercedes V6 t h,Pirelli,40,Engine
24,2016,Spain,1,44,Mercedes F1 W07,Mercedes V6 t h,Pirelli,0,Collision
23,2015,Singapore,5,44,Mercedes F1 W06,Mercedes V6 t h,Pirelli,32,Throttle
22,2014,Belgium,2,44,Mercedes F1 W05,Mercedes V6 t h,Pirelli,38,Handling
21,2014,Canada,2,44,Mercedes F1 W05,Mercedes V6 t h,Pirelli,46,Brakes
20,2014,Australia,1,44,Mercedes F1 W05,Mercedes V6 t h,Pirelli,2,Engine
19,2013,Japan,3,10,Mercedes F1 W04,Mercedes V8,Pirelli,7,Undertray
18,2012,Brazil,1,4,McLaren MP4-27,Mercedes V8,Pirelli,54,Collision
17,2012,Abu Dhabi,1,4,McLaren MP4-27,Mercedes V8,Pirelli,19,Fuel pressure
16,2012,Singapore,1,4,McLaren MP4-27,Mercedes V8,Pirelli,22,Gearbox
15,2012,Belgium,7,4,McLaren MP4-27,Mercedes V8,Pirelli,0,Pile-up
14,2012,Germany,7,4,McLaren MP4-27,Mercedes V8,Pirelli,56,Handling
13,2012,Europe,2,4,McLaren MP4-27,Mercedes V8,Pirelli,55,Collision
12,2011,Brazil,4,3,McLaren MP4-26,Mercedes V8,Pirelli,46,Gearbox
11,2011,Belgium,2,3,McLaren MP4-26,Mercedes V8,Pirelli,12,Accident
10,2011,Canada,5,3,McLaren MP4-26,Mercedes V8,Pirelli,7,Collision
9,2010,Singapore,3,2,McLaren MP4-25,Mercedes V8,Bridgestone,35,Collision
8,2010,Italy,5,2,McLaren MP4-25,Mercedes V8,Bridgestone,0,Collision
7,2010,Hungary,5,2,McLaren MP4-25,Mercedes V8,Bridgestone,23,Transmission
6,2010,Spain,3,2,McLaren MP4-25,Mercedes V8,Bridgestone,64,Puncture
5,2009,Abu Dhabi,1,1,McLaren MP4-24,Mercedes V8,Bridgestone,20,Brakes
4,2009,Italy,1,1,McLaren MP4-24,Mercedes V8,Bridgestone,52,Accident
3,2009,Belgium,12,1,McLaren MP4-24,Mercedes V8,Bridgestone,0,Pile-up
2,2008,Canada,1,22,McLaren MP4-23,Mercedes V8,Bridgestone,19,Collision
1,2007,China,1,2,McLaren MP4-22,Mercedes V8,Bridgestone,30,Handling
,,,,, , ,,,
